Page,Edits,Editors,Views
"Всеросійська державна телевізійна і радіомовна компанія",4,4,241645
"НТВ",6,5,118379
"Шевченко Тарас Григорович",8,2,70281
"Україна",13,7,64354
".torrent",0,0,62705
"День захисника України",9,7,57139
"YouTube",1,1,55105
"Хелловін",22,8,53054
"Захар Беркут (повість)",6,5,47272
"Хіба ревуть воли, як ясла повні?",2,1,46909
"Покрова Пресвятої Богородиці",19,8,45792
"Google",7,2,44772
"Київ",4,4,43378
"Спадкування",0,0,42692
"Франко Іван Якович",2,2,42461
"Просвітництво",4,2,42408
"Стус Василь Семенович",8,6,42137
"Місцеві вибори в Україні 2020",67,20,41367
"Вірус",7,3,41020
"За Майбутнє (партія)",20,10,39760
"Перший канал (Росія)",4,4,39724
"За майбутнє (депутатська група)",7,7,39589
"Перша світова війна",6,4,39141
"Святослав Ігорович",0,0,38975
"Нагірний Карабах",14,6,36927
"Київська Русь",12,2,36185
"Кирило-Мефодіївське товариство",0,0,35827
"Limited liability company",0,0,35598
"Українські січові стрільці",2,2,35489
"Сан-Бруно",0,0,35025
"Трипільська культура",2,1,33787
"Радіо «Свобода»",0,0,33637
"Мішина Ксенія Олександрівна",5,4,33620
"Клітина",0,0,33534
"Facebook",5,3,33511
"Білки",0,0,32322
"Десять заповідей",0,0,31648
"COVID-19 у Полтавській області",114,4,29365
"Балада",0,0,29159
"Пропозиція (політична партія)",4,2,28452
"Будапештський меморандум",8,7,27503
"Німеччина",6,4,27293
"Біблія",13,8,27135
"Олег Кензов",2,2,26870
"Іван Карпенко-Карий",1,1,26807
"Наш край (політична партія)",70,12,25931
"Ліпіди",1,1,25647
"Медведчук Віктор Володимирович",12,10,24822
"Бактерії",1,1,24626
"Карлес Пучдемон",0,0,24424
"Європейський Союз",1,1,24382
"Українська Центральна Рада",3,3,24346
"Менло-Парк (Каліфорнія)",0,0,24342
"Вуглеводи",4,3,24065
"Слово о полку Ігоревім",0,0,23949
"Права людини",2,1,23802
"Facebook, Inc.",0,0,23582
"Панас Мирний",3,3,23570
"Божественна комедія",1,1,23521
"Палиця Ігор Петрович",3,2,23343
"Стамен Григоров",11,1,23292
"Стародавній Єгипет",1,1,23082
"Держава",1,1,22976
"Ольга (княгиня)",1,1,22841
"Велика двадцятка",1,1,22609
"Сатурація",9,1,22550
"Список 250 найрейтинговіших фільмів IMDb",13,2,22510
"Універсали Української Центральної Ради",0,0,22503
"Франція",9,5,22361
"Велика французька революція",1,1,22213
"Театр корифеїв",0,0,22115
"Археї",1,1,21892
"Ода до радості",2,2,21728
"Періодична система хімічних елементів",0,0,21442
"Розстріляне відродження",3,2,21319
"Велика Британія",2,2,21309
"Львів",9,5,21238
"Крайні точки України",0,0,21170
"Люблінська унія",2,2,21066
"Відродження",0,0,20993
"Географічна карта",10,7,20774
"Арестович Олексій Миколайович",18,14,20625
"Фразеологізм",0,0,20316
"Гриб-зонтик великий",0,0,20216
"Візантійська імперія",0,0,20038
"Список українських жіночих імен",0,0,19946
"Романтизм",2,2,19838
"Дощові черви",4,3,19776
"Українська абетка",2,2,19711
"Я (Романтика)",4,1,19520
"Нурмагомедов Хабіб Абдулманапович",4,3,19514
"Кайдашева сім'я",0,0,19497
"Берестейська унія",3,2,19480
"Микола Хвильовий",10,5,19401
"Наполеон",3,2,19379
"Запорозька Січ",2,2,19102
"Їстівні гриби",0,0,19012
"Грушевський Михайло Сергійович",1,1,18975
"Польща",4,4,18963
"Гімн України",0,0,18938
"Наслідки Першої світової війни",?,?,18896
"Ломаченко Василь Анатолійович",?,?,18878
"Джанні Родарі",?,?,18854
"Прискорення",?,?,18841
"Ферменти",?,?,18729
"Козаки",?,?,18675
"Прометей (міфологія)",?,?,18633
"Коран",?,?,18607
"Україна в Першій світовій війні",?,?,18533
"Кільчасті черви",?,?,18522
"Клітинна мембрана",?,?,18396
"Список країн Європейського Союзу",?,?,18367
"Галицько-Волинське князівство",?,?,18364
"Захар Беркут (фільм, 2019)",?,?,18328
"OPTICS",?,?,18307
"Вільям Шекспір",?,?,18220
"Прокаріоти",?,?,18201
"Історичні пісні",?,?,18156
"Мартин Боруля",?,?,18124
"Йоганн Вольфганг фон Гете",?,?,18096
"Українська повстанська армія",?,?,18054
"Фрідріх Шиллер",?,?,18001
"Економіка Норвегії",?,?,17986
"Міф",?,?,17894
"Дезоксирибонуклеїнова кислота",?,?,17857
"Пневмонія",?,?,17711
"Список українських чоловічих імен",?,?,17677
"Вільна економічна зона",?,?,17570
"Операція «Вісла»",?,?,17569
"Леся Українка",?,?,17494
"Адаптація",?,?,17336
"Сполучені Штати Америки",?,?,17236
"Збройні сили України",?,?,17152
"Середньовіччя",?,?,17038
"Друга світова війна",?,?,16978
"Еукаріоти",?,?,16866
"Instagram",?,?,16861
"Філософія",?,?,16740
"Гамлет",?,?,16710
"Культура",?,?,16659
"Великі географічні відкриття",?,?,16657
"Ковалентний зв'язок",?,?,16649
"Дифузія",?,?,16626
"Азербайджан",?,?,16579
"Право",?,?,16562
"Данте Аліг'єрі",?,?,16554
"Первісне суспільство",?,?,16525
"Секс",?,?,16504
"Нормативно-правовий акт",?,?,16488
"Опозиційна платформа — За життя",?,?,16423
"Українське національне відродження",?,?,16396
"РНК",?,?,16259
"Пріони",?,?,16104
"Список країн за формою правління",?,?,16039
"Карло Акутіс",?,?,15994
"Атом",?,?,15985
"Зіткнення в Нагірному Карабасі (2020)",?,?,15941
"Норма права",?,?,15758
"Рослинні клітини",?,?,15694
"Карабаський конфлікт",?,?,15687
"Ярослав Мудрий",?,?,15583
"Фольклор",?,?,15580
"Конституційний Суд України",?,?,15526
"Організація Об'єднаних Націй",?,?,15514
"Ефект Стрейзанд",?,?,15485
"Кліматичний пояс",?,?,15419
"Демократія",?,?,15418
"Гомер",?,?,15272
"Хімічний елемент",?,?,15241
"Гриби",?,?,15228
"Дума",?,?,15220
"Обмін речовин",?,?,15214
"Рівні організації живої матерії",?,?,15175
"Розчинність",?,?,15164
"Усик Олександр Олександрович",?,?,15158
"Притула Сергій Дмитрович",?,?,15119
"Імпресіонізм",?,?,15106
"Президентські вибори у США 2020",?,?,15069
"Пальчевський Андрій Іванович",?,?,15062
"Географічні координати",?,?,15054
"М'язи",?,?,15045
"Античність",?,?,15015
"Володимир Святославич",?,?,15011
"Закони Ньютона",?,?,15006
"Алкани",?,?,14959
"Богдан Хмельницький",?,?,14948
"Печериця рудіюча отруйна",?,?,14918
"Попит і пропозиція",?,?,14862
"Пекло (Божественна комедія)",?,?,14842
"Список померлих 2020 року",?,?,14813
"Другий Універсал Української Центральної Ради",?,?,14791
"Шон Коннері",?,?,14748
"Монархія",?,?,14712
"Форма державного правління",?,?,14614
"Верещук Ірина Андріївна",?,?,14602
"Нуклеїнові кислоти",?,?,14602
"Амінокислоти",?,?,14549
"Маруся Чурай",?,?,14540
"Магдебурзьке право",?,?,14474
"Італія",?,?,14439
"Сковорода Григорій Савич",?,?,14390
"Хрещення Русі",?,?,14369
"Магнітне поле",?,?,14341
"Росія",?,?,14336
"Геракл",?,?,14324
"Місцеві вибори в Києві 2020",?,?,14308
"Версальський договір",?,?,14307
"НАТО",?,?,14275
"Зеленський Володимир Олександрович",?,?,14270
"Кістка",?,?,14248
"Олег Віщий",?,?,14194
"Українська мова",?,?,14159
"Українська Народна Республіка",?,?,14107
"Органела",?,?,14098
"Соціальна норма",?,?,14060
"Костилєв Олександр Олегович",?,?,14033
"Африка",?,?,14010
"Титомир Богдан Петрович",?,?,13983
"Органічні сполуки",?,?,13964
"Вода",?,?,13949
"Українська революція",?,?,13910
"Веди",?,?,13906
"Паризька мирна конференція (1919—1920)",?,?,13878
"Мандри Гуллівера",?,?,13872
"Міжнародна система одиниць (СІ)",?,?,13851
"Питома теплоємність",?,?,13849
"Крихітка Цахес на прізвисько Цинобер",?,?,13837
"Епітет",?,?,13809
"Перший Універсал Української Центральної Ради",?,?,13693
"Повість временних літ",?,?,13651
"Легка атлетика",?,?,13648
"Структура білків",?,?,13643
"Хімічний зв'язок",?,?,13589
"Сонячна система",?,?,13575
"Правила вживання апострофа в українській мові",?,?,13573
"Розчин",?,?,13531
"Нагірно-Карабаська Республіка",?,?,13487
"Топ-модель по-українськи",?,?,13468
"Державний кордон України",?,?,13427
"Конституція України",?,?,13370
"Туберкульоз",?,?,13344
"Вид",?,?,13317
"PH",?,?,13287
"Членистоногі",?,?,13247
"Федеративна держава",?,?,13247
"Софійський собор (Київ)",?,?,13183
"Ukr.net",?,?,13168
"Східні слов'яни",?,?,13111
"OLX",?,?,13106
"G7",?,?,13070
"Бебра (значення)",?,?,13068
"Словосполучення",?,?,13063
"Вітаміни",?,?,13058
"Електричний струм",?,?,13049
"Інфекційні захворювання",?,?,13028
"Данило Галицький",?,?,13002
"Гетьманщина",?,?,12969
"Українське козацтво",?,?,12969
"Надзвичайна ситуація",?,?,12942
"Кличко Віталій Володимирович",?,?,12924
"Порошенко Петро Олексійович",?,?,12903
"Картографічна проєкція",?,?,12890
"Ігор Рюрикович",?,?,12879
"Франкське королівство",?,?,12872
"Ліга Націй",?,?,12783
"Арістотель",?,?,12776
"Киргизстан",?,?,12744
"Реформація",?,?,12713
"Маруся Богуславка",?,?,12711
"Населення України",?,?,12685
"Карл I Великий",?,?,12616
"Покоління прав людини",?,?,12592
"Аскольд",?,?,12549
"День Українського козацтва",?,?,12548
"Пароніми",?,?,12546
"Хмельниччина",?,?,12503
"Військові звання України",?,?,12452
"Велике князівство Литовське",?,?,12400
"Тканина (біологія)",?,?,12389
"Операційна система",?,?,12381
"Єгипет",?,?,12373
"Рівноприскорений рух",?,?,12351
"Билини",?,?,12344
"Скіфи",?,?,12330
"Ракоподібні",?,?,12285
"Іліада",?,?,12266
"Польський гриб",?,?,12223
"Microsoft Windows",?,?,12200
"Танці з зірками",?,?,12196
"Обертання Землі",?,?,12167
"Молекула",?,?,12156
"Союз Радянських Соціалістичних Республік",?,?,12148
"Комахи",?,?,12113
"Економічна система",?,?,12103
"Місяць (супутник)",?,?,12094
"Третій Універсал Української Центральної Ради",?,?,12089
"Азимут",?,?,12081
"Павукоподібні",?,?,12060
"Річ Посполита",?,?,12055
"Туреччина",?,?,12029
"Промисловість Швеції",?,?,12003
"Бущан Георгій Миколайович",?,?,12003
"Вірменія",?,?,11982
"Алегорія",?,?,11969
"Здоров'я",?,?,11913
"Війна на сході України",?,?,11902
"Республіка",?,?,11864
"Швидкість",?,?,11833
"Промислова революція",?,?,11791
"Іван Мазепа",?,?,11757
"Адольф Гітлер",?,?,11749
"Гаррі Поттер (серія фільмів)",?,?,11740
"Тоталітаризм",?,?,11722
"Віденський конгрес",?,?,11689
"Розвинені країни",?,?,11680
"Код ЄДРПОУ",?,?,11647
"Цукровий діабет",?,?,11599
"Робін Гуд",?,?,11562
"Топографічна карта",?,?,11562
"Державний устрій",?,?,11551
"Земля",?,?,11537
"Вересовий трунок",?,?,11521
"Android",?,?,11520
"Українські народні пісні",?,?,11516
"Білорусь",?,?,11515
"Клітинне ядро",?,?,11512
"Сім чудес України",?,?,11508
"Комп'ютер",?,?,11501
"Послідовне і паралельне з'єднання провідників",?,?,11463
"Нечуй-Левицький Іван Семенович",?,?,11448
"Інформація",?,?,11429
"Швейцарія",?,?,11367
"Перекладач",?,?,11360
"Втрати силових структур внаслідок російського вторгнення в Україну (з липня 2020 року)",?,?,11357
"Омоніми",?,?,11355
"Бандера Степан Андрійович",?,?,11342
"Morgenshtern",?,?,11327
"Клітинна стінка",?,?,11323
"Комп'ютерна 3D-графіка",?,?,11301
"Економіка Нідерландів",?,?,11300
"Бій під Крутами",?,?,11271
"Закон Ома",?,?,11256
"Особистість",?,?,11233
"Список президентів України",?,?,11202
"Список кодів МКХ-10",?,?,11195
"Валовий внутрішній продукт",?,?,11165
"Травна система",?,?,11132
"Холодна війна",?,?,11117
"Австралія",?,?,11104
"Тварини",?,?,11029
"Винниченко Володимир Кирилович",?,?,11024
"Синонім",?,?,11001
"Есе",?,?,10995
"Головна українська рада",?,?,10965
"Економіка України",?,?,10932
"Брусиловський прорив",?,?,10928
"Паразитизм",?,?,10925
"Ведмідь бурий",?,?,10892
"Наполеонівські війни",?,?,10884
